gNMDAR,RyR,Ca
170.000000,10.000000,0.053686
170.000000,20.000000,0.057029
170.000000,30.000000,0.061282
170.000000,40.000000,4.921360
170.000000,50.000000,6.823188
170.000000,60.000000,8.640213
170.000000,70.000000,10.428403
170.000000,80.000000,12.156975
170.000000,90.000000,13.807614
170.000000,100.000000,15.377107
170.000000,110.000000,16.849881
170.000000,120.000000,18.221883
170.000000,130.000000,19.493995
170.000000,140.000000,20.670108
160.000000,10.000000,0.053686
160.000000,20.000000,0.057030
160.000000,30.000000,0.061285
160.000000,40.000000,4.921364
160.000000,50.000000,6.823179
160.000000,60.000000,8.640208
160.000000,70.000000,10.428399
160.000000,80.000000,12.156951
160.000000,90.000000,13.807608
160.000000,100.000000,15.377104
160.000000,110.000000,16.849879
160.000000,120.000000,18.221881
160.000000,130.000000,19.493994
160.000000,140.000000,20.670106
150.000000,10.000000,0.053686
150.000000,20.000000,0.057030
150.000000,30.000000,0.061288
150.000000,40.000000,4.921367
150.000000,50.000000,6.823169
150.000000,60.000000,8.640203
150.000000,70.000000,10.428394
150.000000,80.000000,12.156927
150.000000,90.000000,13.807603
150.000000,100.000000,15.377101
150.000000,110.000000,16.849876
150.000000,120.000000,18.221879
150.000000,130.000000,19.493992
150.000000,140.000000,20.670104
140.000000,10.000000,0.053686
140.000000,20.000000,0.057030
140.000000,30.000000,0.061291
140.000000,40.000000,4.921371
140.000000,50.000000,6.823159
140.000000,60.000000,8.640198
140.000000,70.000000,10.428390
140.000000,80.000000,12.156902
140.000000,90.000000,13.807598
140.000000,100.000000,15.377098
140.000000,110.000000,16.849873
140.000000,120.000000,18.221877
140.000000,130.000000,19.493990
140.000000,140.000000,20.670102
130.000000,10.000000,0.053686
130.000000,20.000000,0.057030
130.000000,30.000000,0.061294
130.000000,40.000000,4.921374
130.000000,50.000000,6.823149
130.000000,60.000000,8.640193
130.000000,70.000000,10.428386
130.000000,80.000000,12.156878
130.000000,90.000000,13.807593
130.000000,100.000000,15.377095
130.000000,110.000000,16.849871
130.000000,120.000000,18.221875
130.000000,130.000000,19.493988
130.000000,140.000000,20.670101
120.000000,10.000000,0.053686
120.000000,20.000000,0.057030
120.000000,30.000000,0.061297
120.000000,40.000000,4.921378
120.000000,50.000000,6.823139
120.000000,60.000000,8.640188
120.000000,70.000000,10.428382
120.000000,80.000000,12.156854
120.000000,90.000000,13.807587
120.000000,100.000000,15.377091
120.000000,110.000000,16.849868
120.000000,120.000000,18.221873
120.000000,130.000000,19.493987
120.000000,140.000000,20.670099
110.000000,10.000000,0.053686
110.000000,20.000000,0.057030
110.000000,30.000000,0.061300
110.000000,40.000000,4.921381
110.000000,50.000000,6.823129
110.000000,60.000000,8.640183
110.000000,70.000000,10.428378
110.000000,80.000000,12.156830
110.000000,90.000000,13.807582
110.000000,100.000000,15.377088
110.000000,110.000000,16.849866
110.000000,120.000000,18.221870
110.000000,130.000000,19.493985
110.000000,140.000000,20.670097
100.000000,10.000000,0.053686
100.000000,20.000000,0.057030
100.000000,30.000000,0.061303
100.000000,40.000000,4.921385
100.000000,50.000000,6.823119
100.000000,60.000000,8.640178
100.000000,70.000000,10.428373
100.000000,80.000000,12.156806
100.000000,90.000000,13.807577
100.000000,100.000000,15.377085
100.000000,110.000000,16.849864
100.000000,120.000000,18.221869
100.000000,130.000000,19.493983
100.000000,140.000000,20.670096
90.000000,10.000000,0.053686
90.000000,20.000000,0.057031
90.000000,30.000000,0.061306
90.000000,40.000000,4.921388
90.000000,50.000000,6.823109
90.000000,60.000000,8.640174
90.000000,70.000000,10.428369
90.000000,80.000000,12.156781
90.000000,90.000000,13.807572
90.000000,100.000000,15.377081
90.000000,110.000000,16.849861
90.000000,120.000000,18.221866
90.000000,130.000000,19.493981
90.000000,140.000000,20.670094
80.000000,10.000000,0.053686
80.000000,20.000000,0.057031
80.000000,30.000000,0.061309
80.000000,40.000000,4.921391
80.000000,50.000000,6.823099
80.000000,60.000000,8.640168
80.000000,70.000000,10.428365
80.000000,80.000000,12.156757
80.000000,90.000000,13.807567
80.000000,100.000000,15.377078
80.000000,110.000000,16.849858
80.000000,120.000000,18.221865
80.000000,130.000000,19.493980
80.000000,140.000000,20.670093
70.000000,10.000000,0.053686
70.000000,20.000000,0.057031
70.000000,30.000000,0.061312
70.000000,40.000000,4.921395
70.000000,50.000000,6.823089
70.000000,60.000000,8.640164
70.000000,70.000000,10.428361
70.000000,80.000000,12.156733
70.000000,90.000000,13.807561
70.000000,100.000000,15.377075
70.000000,110.000000,16.849856
70.000000,120.000000,18.221863
70.000000,130.000000,19.493978
70.000000,140.000000,20.670091
60.000000,10.000000,0.053686
60.000000,20.000000,0.057031
60.000000,30.000000,0.061316
60.000000,40.000000,4.921398
60.000000,50.000000,6.823079
60.000000,60.000000,8.640159
60.000000,70.000000,10.428357
60.000000,80.000000,12.156709
60.000000,90.000000,13.807556
60.000000,100.000000,15.377072
60.000000,110.000000,16.849854
60.000000,120.000000,18.221860
60.000000,130.000000,19.493977
60.000000,140.000000,20.670090
50.000000,10.000000,0.053686
50.000000,20.000000,0.057031
50.000000,30.000000,0.061319
50.000000,40.000000,4.921402
50.000000,50.000000,6.823069
50.000000,60.000000,8.640154
50.000000,70.000000,10.428353
50.000000,80.000000,12.156685
50.000000,90.000000,13.807551
50.000000,100.000000,15.377068
50.000000,110.000000,16.849851
50.000000,120.000000,18.221859
50.000000,130.000000,19.493975
50.000000,140.000000,20.670088
