gNMDAR,RyR,Ca
170.000000,40.000000,0.079725
170.000000,50.000000,0.087619
170.000000,60.000000,0.095872
170.000000,70.000000,0.104556
170.000000,80.000000,0.113867
170.000000,90.000000,196.403590
170.000000,100.000000,196.195622
170.000000,110.000000,200.687420
170.000000,120.000000,204.517217
170.000000,130.000000,207.787369
170.000000,140.000000,210.604635
160.000000,40.000000,0.079725
160.000000,50.000000,0.087619
160.000000,60.000000,0.095873
160.000000,70.000000,0.104557
160.000000,80.000000,0.113867
160.000000,90.000000,195.544743
160.000000,100.000000,196.195412
160.000000,110.000000,200.687320
160.000000,120.000000,204.517170
160.000000,130.000000,207.787335
160.000000,140.000000,210.604611
150.000000,40.000000,0.079725
150.000000,50.000000,0.087619
150.000000,60.000000,0.095873
150.000000,70.000000,0.104557
150.000000,80.000000,0.113868
150.000000,90.000000,195.099315
150.000000,100.000000,196.195190
150.000000,110.000000,200.687232
150.000000,120.000000,204.517116
150.000000,130.000000,207.787300
150.000000,140.000000,210.604586
140.000000,40.000000,0.079725
140.000000,50.000000,0.087620
140.000000,60.000000,0.095873
140.000000,70.000000,0.104557
140.000000,80.000000,0.113868
140.000000,90.000000,194.799908
140.000000,100.000000,196.194975
140.000000,110.000000,200.687151
140.000000,120.000000,204.517062
140.000000,130.000000,207.787256
140.000000,140.000000,210.604562
130.000000,40.000000,0.079725
130.000000,50.000000,0.087620
130.000000,60.000000,0.095873
130.000000,70.000000,0.104557
130.000000,80.000000,0.113869
130.000000,90.000000,194.575528
130.000000,100.000000,196.194776
130.000000,110.000000,200.687062
130.000000,120.000000,204.517006
130.000000,130.000000,207.787232
130.000000,140.000000,210.604535
120.000000,40.000000,0.079725
120.000000,50.000000,0.087620
120.000000,60.000000,0.095873
120.000000,70.000000,0.104557
120.000000,80.000000,0.113869
120.000000,90.000000,194.396824
120.000000,100.000000,196.194558
120.000000,110.000000,200.686976
120.000000,120.000000,204.516960
120.000000,130.000000,207.787195
120.000000,140.000000,210.604509
110.000000,40.000000,0.079725
110.000000,50.000000,0.087620
110.000000,60.000000,0.095873
110.000000,70.000000,0.104558
110.000000,80.000000,0.113870
110.000000,90.000000,194.248589
110.000000,100.000000,196.194347
110.000000,110.000000,200.686885
110.000000,120.000000,204.516908
110.000000,130.000000,207.787156
110.000000,140.000000,210.604483
100.000000,40.000000,0.079725
100.000000,50.000000,0.087620
100.000000,60.000000,0.095874
100.000000,70.000000,0.104558
100.000000,80.000000,0.113870
100.000000,90.000000,194.122197
100.000000,100.000000,196.194128
100.000000,110.000000,200.686793
100.000000,120.000000,204.516855
100.000000,130.000000,207.787118
100.000000,140.000000,210.604453
90.000000,40.000000,0.079726
90.000000,50.000000,0.087620
90.000000,60.000000,0.095874
90.000000,70.000000,0.104558
90.000000,80.000000,0.113870
90.000000,90.000000,194.012227
90.000000,100.000000,196.193914
90.000000,110.000000,200.686707
90.000000,120.000000,204.516804
90.000000,130.000000,207.787093
90.000000,140.000000,210.604435
80.000000,40.000000,0.079726
80.000000,50.000000,0.087620
80.000000,60.000000,0.095874
80.000000,70.000000,0.104558
80.000000,80.000000,0.113871
80.000000,90.000000,193.914929
80.000000,100.000000,196.193712
80.000000,110.000000,200.686621
80.000000,120.000000,204.516742
80.000000,130.000000,207.787051
80.000000,140.000000,210.604408
70.000000,40.000000,0.079726
70.000000,50.000000,0.087620
70.000000,60.000000,0.095874
70.000000,70.000000,0.104559
70.000000,80.000000,0.113871
70.000000,90.000000,193.827858
70.000000,100.000000,196.193492
70.000000,110.000000,200.686531
70.000000,120.000000,204.516703
70.000000,130.000000,207.787019
70.000000,140.000000,210.604383
60.000000,40.000000,0.079726
60.000000,50.000000,0.087621
60.000000,60.000000,0.095874
60.000000,70.000000,0.104559
60.000000,80.000000,0.113872
60.000000,90.000000,193.749041
60.000000,100.000000,196.193279
60.000000,110.000000,200.686440
60.000000,120.000000,204.516638
60.000000,130.000000,207.786985
60.000000,140.000000,210.604351
50.000000,40.000000,0.079726
50.000000,50.000000,0.087621
50.000000,60.000000,0.095874
50.000000,70.000000,0.104559
50.000000,80.000000,0.113872
50.000000,90.000000,193.677140
50.000000,100.000000,196.193055
50.000000,110.000000,200.686356
50.000000,120.000000,204.516600
50.000000,130.000000,207.786944
50.000000,140.000000,210.604326
40.000000,40.000000,0.079726
40.000000,50.000000,0.087621
40.000000,60.000000,0.095875
40.000000,70.000000,0.104559
40.000000,80.000000,0.113873
40.000000,90.000000,193.611100
40.000000,100.000000,196.192855
40.000000,110.000000,200.686257
40.000000,120.000000,204.516542
40.000000,130.000000,207.786916
40.000000,140.000000,210.604309
30.000000,40.000000,0.079726
30.000000,50.000000,0.087621
30.000000,60.000000,0.095875
30.000000,70.000000,0.104560
30.000000,80.000000,0.113873
30.000000,90.000000,193.549999
30.000000,100.000000,196.192628
30.000000,110.000000,200.686179
30.000000,120.000000,204.516487
30.000000,130.000000,207.786881
30.000000,140.000000,210.604282
20.000000,40.000000,0.079726
20.000000,50.000000,0.087621
20.000000,60.000000,0.095875
20.000000,70.000000,0.104560
20.000000,80.000000,0.113874
20.000000,90.000000,193.493225
20.000000,100.000000,196.192430
20.000000,110.000000,200.686086
20.000000,120.000000,204.516446
20.000000,130.000000,207.786843
20.000000,140.000000,210.604258
10.000000,40.000000,0.079727
10.000000,50.000000,0.087621
10.000000,60.000000,0.095875
10.000000,70.000000,0.104560
10.000000,80.000000,0.113874
10.000000,90.000000,193.440217
10.000000,100.000000,196.192208
10.000000,110.000000,200.686003
10.000000,120.000000,204.516389
10.000000,130.000000,207.786813
10.000000,140.000000,210.604233
